P2c burn per order,Priority 1
month,Priority
1,4.630789738430584
2,4.302160427807487
3,2.581257028614269
4,2.353297336901121
5,2.816332058721288
6,2.7999622391182326
7,2.879478671948524
8,2.531984794353433
9,2.434152250744048
