R burn gmv,Priority 1
month,Priority
1,0.2119241044577612
2,0.1594190414368295
3,0.2999547705894954
4,0.3098548299936864
5,0.2838199950129919
6,0.2826467081936081
7,0.2726480105545923
8,0.2790783128753393
9,0.2828547782438621
