B2c per order,Priority 1
month,Priority
1,1.4970674044265593
2,2.693561497326203
3,3.0302355366737475
4,2.9080886850152905
5,3.024927935395888
6,2.9592253916415774
7,3.213995535225756
8,3.1252923492506097
9,2.688768601190476
