Tri per order,Priority 1
month,Priority
1,8.339200201207243
2,8.355796791443849
3,7.777786142696489
4,7.4267077599388385
5,7.516795464876861
6,7.540207939990816
7,7.609021908034404
8,7.443346767166259
9,7.2746793619791665
