B p1,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0858177368872645,0.083492628355777,0.0950598183449448,0.0708869073168389,0.0718215947904699,0.0344668758008017
2,0.0639562915491625,0.0716801064361618,0.0711261636294012,0.0654839209554636,0.0592194372193509,0.0335266634399751
3,0.0653831479644978,0.0778727542098131,0.0742422293196313,0.0508085493305939,0.0604100147141957,0.0296109651168366
4,0.0700019719831209,0.079384123108272,0.0740733881271019,0.0505922521647805,0.0601834896606153,0.0290615062016706
5,0.0703277645115297,0.0800431887033126,0.074193450778361,0.0523520504573952,0.063392021894242,0.0302539167356636
6,0.0714312697670749,0.0802799809585989,0.0747774023519265,0.0564148865087629,0.0642210771181135,0.0288670771687423
7,0.0724217883366641,0.0811459249543314,0.0737921835011343,0.0538416319036846,0.0634933835507881,0.0275316938227153
8,0.0727384000450119,0.0808952315940883,0.073734881977417,0.0552391629789935,0.0629213351918022,0.0283534306613274
9,0.0692460758825903,0.080616423311356,0.0707753156412104,0.0521180819618657,0.0594204559179052,0.0291093234609051
