B p1p2,priority_4
month,Old priority,New priority
1,0.008043460625,0.004238546963
2,0.008023727933,0.004407535169
3,0.008165589093,0.005211087131
4,0.009070070735,0.006343081921
5,0.009479072643,0.006887817352
