B2c gmv,priority_4
month,Old priority,New priority
1,0.07058188,0.02986004
2,0.05793759,0.04461335
3,0.0651507,0.0559311
4,0.05091536,0.04588115
5,0.04374827,0.05655681

B2c per order,priority_4
month,Old priority,New priority
1,3.199579913,1.261328671
2,2.507361754,1.868390449
3,2.892395062,2.436016845
4,2.168886157,1.950783467
5,1.848495177,2.408723558

B2c total burn,priority_4
month,Old priority,New priority
1,83019.5,3968.14
2,53639.99,6651.47
3,66770.94,11858.53
4,46752.51,9486.66
5,42354.57,13322.65

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0278259529,0.02542911634
2,0.02832702286,0.02668539326
3,0.03036603855,0.02855382087
4,0.02894785675,0.03269586675
5,0.02775716842,0.02820466462

B cancel rate,priority_4
month,Old priority,New priority
1,0.01742597652,0.02114164905
2,0.02143617966,0.02158848614
3,0.02624179944,0.02849441663
4,0.02565660951,0.02606680826
5,0.02595240029,0.02624053827

B p1p2,priority_4
month,Old priority,New priority
1,0.008043460625,0.004238546963
2,0.008023727933,0.004407535169
3,0.008165589093,0.005211087131
4,0.009070070735,0.006343081921
5,0.009479072643,0.006887817352

Daily online hours,priority_4
month,Old priority,New priority
1,1974.739462,572.8311828
2,2106.34046,669.275364
3,2237.386801,734.849319
4,2369.862417,796.7263426
5,2305.666774,860.2853315

Daily orders,priority_4
month,Old priority,New priority
1,837.0,101.483871
2,737.6896552,122.7586207
3,744.6774194,157.0322581
4,718.5333333,162.1
5,739.1290323,178.4193548

Exposure uv,priority_4
month,Old priority,New priority
1,3562397,831417
2,2977419,920696
3,3189727,1062926
4,2692151,864091
5,2763034,905657

Healthy stores,priority_4
month,Old priority,New priority
1,201.8387097,50.22580645
2,218.9655172,61.27586207
3,228.8064516,69.83870968
4,244.5,75.7
5,236.1935484,81.38709677

Imperfect orders,priority_4
month,Old priority,New priority
1,668.0,86.0
2,567.0,93.0
3,711.0,156.0
4,618.0,168.0
5,618.0,157.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.543219992,1.721006565
2,2.894466243,1.75715696
3,2.741686461,1.967663703
4,2.516754232,1.854691076
5,2.66709347,1.855417645

R burn,priority_4
month,Old priority,New priority
1,281808.96,26385.96
2,215996.72,29393.52
3,241952.83,45602.7
4,221288.86,46389.08
5,237811.02,52841.72

R burn gmv,priority_4
month,Old priority,New priority
1,0.239589581,0.198552908
2,0.233302223,0.197150904
3,0.236081689,0.215086449
4,0.240992438,0.224355488
5,0.2456363,0.224321662

R burn per order,priority_4
month,Old priority,New priority
1,10.86094577,8.387145582
2,10.0966073,8.256606742
3,10.4809543,9.367851274
4,10.26576638,9.539189801
5,10.37886876,9.553737118

Ted,priority_4
month,Old priority,New priority
1,483541.56,44004.7
2,352482.75,50329.85
3,384215.25,73661.56
4,333273.26,70632.44
5,361988.44,85681.72

Ted gmv,priority_4
month,Old priority,New priority
1,0.411099491,0.331132964
2,0.380723416,0.33757697
3,0.374892019,0.347426872
4,0.362947938,0.341605729
5,0.373899834,0.363732783

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0278259529,0.02542911634
2,0.02832702286,0.02668539326
3,0.03036603855,0.02855382087
4,0.02894785675,0.03269586675
5,0.02775716842,0.02820466462

B cancel rate,priority_4
month,Old priority,New priority
1,0.01742597652,0.02114164905
2,0.02143617966,0.02158848614
3,0.02624179944,0.02849441663
4,0.02565660951,0.02606680826
5,0.02595240029,0.02624053827

B p1p2,priority_4
month,Old priority,New priority
1,0.008043460625,0.004238546963
2,0.008023727933,0.004407535169
3,0.008165589093,0.005211087131
4,0.009070070735,0.006343081921
5,0.009479072643,0.006887817352

Daily online hours,priority_4
month,Old priority,New priority
1,1974.739462,572.8311828
2,2106.34046,669.275364
3,2237.386801,734.849319
4,2369.862417,796.7263426
5,2305.666774,860.2853315

Daily orders,priority_4
month,Old priority,New priority
1,837.0,101.483871
2,737.6896552,122.7586207
3,744.6774194,157.0322581
4,718.5333333,162.1
5,739.1290323,178.4193548

Exposure uv,priority_4
month,Old priority,New priority
1,3562397,831417
2,2977419,920696
3,3189727,1062926
4,2692151,864091
5,2763034,905657

Healthy stores,priority_4
month,Old priority,New priority
1,201.8387097,50.22580645
2,218.9655172,61.27586207
3,228.8064516,69.83870968
4,244.5,75.7
5,236.1935484,81.38709677

Imperfect orders,priority_4
month,Old priority,New priority
1,668.0,86.0
2,567.0,93.0
3,711.0,156.0
4,618.0,168.0
5,618.0,157.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.543219992,1.721006565
2,2.894466243,1.75715696
3,2.741686461,1.967663703
4,2.516754232,1.854691076
5,2.66709347,1.855417645

Ted gmv,priority_4
month,Old priority,New priority
1,0.411099491,0.331132964
2,0.380723416,0.33757697
3,0.374892019,0.347426872
4,0.362947938,0.341605729
5,0.373899834,0.363732783

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0278259529,0.02542911634
2,0.02832702286,0.02668539326
3,0.03036603855,0.02855382087
4,0.02894785675,0.03269586675
5,0.02775716842,0.02820466462

B cancel rate,priority_4
month,Old priority,New priority
1,0.01742597652,0.02114164905
2,0.02143617966,0.02158848614
3,0.02624179944,0.02849441663
4,0.02565660951,0.02606680826
5,0.02595240029,0.02624053827

B p1p2,priority_4
month,Old priority,New priority
1,0.008043460625,0.004238546963
2,0.008023727933,0.004407535169
3,0.008165589093,0.005211087131
4,0.009070070735,0.006343081921
5,0.009479072643,0.006887817352

Daily orders,priority_4
month,Old priority,New priority
1,837.0,101.483871
2,737.6896552,122.7586207
3,744.6774194,157.0322581
4,718.5333333,162.1
5,739.1290323,178.4193548

Exposure uv,priority_4
month,Old priority,New priority
1,3562397,831417
2,2977419,920696
3,3189727,1062926
4,2692151,864091
5,2763034,905657

Healthy stores,priority_4
month,Old priority,New priority
1,201.8387097,50.22580645
2,218.9655172,61.27586207
3,228.8064516,69.83870968
4,244.5,75.7
5,236.1935484,81.38709677

Imperfect orders,priority_4
month,Old priority,New priority
1,668.0,86.0
2,567.0,93.0
3,711.0,156.0
4,618.0,168.0
5,618.0,157.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.543219992,1.721006565
2,2.894466243,1.75715696
3,2.741686461,1.967663703
4,2.516754232,1.854691076
5,2.66709347,1.855417645

Ted gmv,priority_4
month,Old priority,New priority
1,0.411099491,0.331132964
2,0.380723416,0.33757697
3,0.374892019,0.347426872
4,0.362947938,0.341605729
5,0.373899834,0.363732783

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0278259529,0.02542911634
2,0.02832702286,0.02668539326
3,0.03036603855,0.02855382087
4,0.02894785675,0.03269586675
5,0.02775716842,0.02820466462

B cancel rate,priority_4
month,Old priority,New priority
1,0.01742597652,0.02114164905
2,0.02143617966,0.02158848614
3,0.02624179944,0.02849441663
4,0.02565660951,0.02606680826
5,0.02595240029,0.02624053827

B p1p2,priority_4
month,Old priority,New priority
1,0.008043460625,0.004238546963
2,0.008023727933,0.004407535169
3,0.008165589093,0.005211087131
4,0.009070070735,0.006343081921
5,0.009479072643,0.006887817352

Daily orders,priority_4
month,Old priority,New priority
1,837.0,101.483871
2,737.6896552,122.7586207
3,744.6774194,157.0322581
4,718.5333333,162.1
5,739.1290323,178.4193548

Exposure uv,priority_4
month,Old priority,New priority
1,3562397,831417
2,2977419,920696
3,3189727,1062926
4,2692151,864091
5,2763034,905657

Healthy stores,priority_4
month,Old priority,New priority
1,201.8387097,50.22580645
2,218.9655172,61.27586207
3,228.8064516,69.83870968
4,244.5,75.7
5,236.1935484,81.38709677

Imperfect orders,priority_4
month,Old priority,New priority
1,668.0,86.0
2,567.0,93.0
3,711.0,156.0
4,618.0,168.0
5,618.0,157.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.543219992,1.721006565
2,2.894466243,1.75715696
3,2.741686461,1.967663703
4,2.516754232,1.854691076
5,2.66709347,1.855417645

Ted gmv,priority_4
month,Old priority,New priority
1,0.411099491,0.331132964
2,0.380723416,0.33757697
3,0.374892019,0.347426872
4,0.362947938,0.341605729
5,0.373899834,0.363732783




